YrSt_ID,population,robbery,Unemp_Yr_Avg
1980 - AK,440142,360,9.6
1980 - AL,3861466,5102,8.9
1980 - AR,2284037,1848,7.5
1980 - AZ,2715357,5258,6.6
1980 - CA,23532680,90420,6.8
1980 - CO,2878407,4608,5.8
1980 - CT,3095224,6749,5.8
1980 - DC,635233,8897,7.4
1980 - DE,594779,815,7.6
1980 - FL,9567112,34015,6.1
1980 - GA,5400851,10670,6.3
1980 - HI,964680,1835,5.0
1980 - IA,2907804,1596,6.0
1980 - ID,943629,442,7.5
1980 - IL,11355062,41675,8.1
1980 - IN,5461103,7720,9.6
1980 - KS,2354783,2664,4.5
1980 - KY,3641479,3468,7.9
1980 - LA,4199542,8271,6.9
1980 - MA,5728288,13492,5.6
1980 - MD,4192211,16461,6.6
1980 - ME,1123670,346,7.6
1980 - MI,9228128,22519,12.3
1980 - MN,4061235,4025,5.8
1980 - MO,4901288,10958,7.2
1980 - MT,781592,266,6.1
1980 - NC,5843665,4810,6.4
1980 - ND,652437,50,4.9
1980 - NE,1563921,1286,3.9
1980 - NH,919114,386,4.5
1980 - NJ,7342164,22299,7.2
1980 - NM,1295474,1657,7.6
1980 - NV,800312,3686,6.2
1980 - NY,17506690,112273,7.5
1980 - OH,10766808,24082,8.4
1980 - OK,3001252,3147,4.4
1980 - OR,2610477,3978,8.5
1980 - PA,11824220,21039,8.0
1980 - RI,945835,1122,7.2
1980 - SC,3064557,3620,6.7
1980 - SD,688217,138,4.8
1980 - TN,4545590,8208,7.4
1980 - TX,14169829,29547,5.1
1980 - UT,1458729,1170,6.2
1980 - VA,5323412,6392,5.2
1980 - VT,511299,199,6.2
1980 - WA,4113331,5558,8.1
1980 - WI,4680917,3310,7.2
1980 - WV,1930787,936,9.5
1980 - WY,468954,208,3.8
1981 - AK,412000,472,9.4
1981 - AL,3916000,4952,10.5
1981 - AR,2294000,1776,8.8
1981 - AZ,2793000,4961,6.2
1981 - CA,24159000,93781,7.4
1981 - CO,2963000,4726,5.8
1981 - CT,3132000,7709,6.2
1981 - DC,636000,10399,8.9
1981 - DE,598000,844,7.9
1981 - FL,10166000,35473,6.7
1981 - GA,5569000,10938,6.4
1981 - HI,979000,1453,5.4
1981 - IA,2897000,1554,6.6
1981 - ID,959000,362,7.8
1981 - IL,11455000,42752,8.5
1981 - IN,5466000,7050,9.9
1981 - KS,2381000,2611,4.3
1981 - KY,3661000,3687,8.6
1981 - LA,4305000,8698,8.4
1981 - MA,5770000,15633,6.5
1981 - MD,4261000,18085,7.3
1981 - ME,1132000,368,7.4
1981 - MI,9201000,23688,12.4
1981 - MN,4090000,4266,5.8
1981 - MO,4938000,10629,7.7
1981 - MT,792000,302,6.9
1981 - NC,5951000,4809,6.5
1981 - ND,658000,85,4.8
1981 - NE,1576000,1115,4.2
1981 - NH,935000,335,5.2
1981 - NJ,7401000,24761,7.5
1981 - NM,1327000,1868,7.3
1981 - NV,845000,3870,7.2
1981 - NY,17594000,120344,7.6
1981 - OH,10776000,25529,9.4
1981 - OK,3098000,3574,3.6
1981 - OR,2647000,4780,9.8
1981 - PA,11864000,22137,8.4
1981 - RI,952000,1257,7.8
1981 - SC,3166000,3805,8.1
1981 - SD,685000,122,5.0
1981 - TN,4610000,7916,9.0
1981 - TX,14755000,28528,5.3
1981 - UT,1516000,1286,6.6
1981 - VA,5426000,7229,6.0
1981 - VT,515000,142,5.8
1981 - WA,4212000,5475,9.6
1981 - WI,4739000,3249,8.0
1981 - WV,1951000,979,10.6
1981 - WY,492000,206,4.1
1982 - AK,438000,586,9.9
1982 - AL,3943000,4417,14.1
1982 - AR,2291000,1805,9.9
1982 - AZ,2860000,4537,10.1
1982 - CA,24724000,91988,9.9
1982 - CO,3045000,4587,7.3
1982 - CT,3153000,6574,6.8
1982 - DC,631000,9137,10.4
1982 - DE,602000,737,8.4
1982 - FL,10416000,31002,8.4
1982 - GA,5639000,8716,7.8
1982 - HI,994000,1560,6.3
1982 - IA,2905000,1051,8.5
1982 - ID,965000,292,10.0
1982 - IL,11448000,39700,11.4
1982 - IN,5471000,5966,12.0
1982 - KS,2408000,2095,6.3
1982 - KY,3667000,3568,10.8
1982 - LA,4362000,9275,10.3
1982 - MA,5781000,12359,7.7
1982 - MD,4265000,15377,8.3
1982 - ME,1133000,345,8.4
1982 - MI,9109000,24699,15.4
1982 - MN,4133000,4188,7.9
1982 - MO,4951000,9554,9.2
1982 - MT,801000,265,8.5
1982 - NC,6019000,5168,9.2
1982 - ND,670000,85,5.6
1982 - NE,1586000,982,5.6
1982 - NH,951000,322,6.8
1982 - NJ,7438000,22880,8.7
1982 - NM,1359000,1715,9.2
1982 - NV,881000,3697,9.9
1982 - NY,17659000,107843,8.5
1982 - OH,10791000,19809,12.7
1982 - OK,3177000,4218,6.0
1982 - OR,2649000,4433,11.5
1982 - PA,11865000,20806,11.2
1982 - RI,958000,1099,9.7
1982 - SC,3203000,3921,11.1
1982 - SD,691000,118,5.5
1982 - TN,4651000,8173,11.7
1982 - TX,15280000,33618,6.9
1982 - UT,1554000,1344,8.2
1982 - VA,5491000,6708,7.4
1982 - VT,516000,119,7.0
1982 - WA,4245000,5003,12.0
1982 - WI,4765000,3393,10.5
1982 - WV,1948000,970,14.0
1982 - WY,502000,172,6.2
1983 - AK,479000,465,10.0
1983 - AL,3959000,3895,13.8
1983 - AR,2328000,1614,9.9
1983 - AZ,2963000,3923,8.8
1983 - CA,25174000,85826,9.8
1983 - CO,3139000,3968,7.1
1983 - CT,3138000,6296,6.0
1983 - DC,623000,7698,11.2
1983 - DE,606000,699,7.7
1983 - FL,10680000,28126,8.5
1983 - GA,5732000,8267,7.7
1983 - HI,1023000,1330,6.2
1983 - IA,2905000,1192,8.1
1983 - ID,989000,270,9.0
1983 - IL,11486000,36625,11.8
1983 - IN,5479000,5474,11.2
1983 - KS,2425000,2038,5.9
1983 - KY,3714000,3236,11.4
1983 - LA,4438000,8433,11.5
1983 - MA,5767000,12023,6.8
1983 - MD,4304000,14950,7.0
1983 - ME,1146000,311,8.3
1983 - MI,9069000,25873,14.4
1983 - MN,4144000,3298,8.0
1983 - MO,4970000,8346,9.9
1983 - MT,817000,192,8.6
1983 - NC,6082000,4840,9.0
1983 - ND,680000,53,5.7
1983 - NE,1597000,796,5.6
1983 - NH,959000,231,5.5
1983 - NJ,7468000,20086,8.0
1983 - NM,1399000,1595,9.7
1983 - NV,891000,2737,9.6
1983 - NY,17667000,94783,8.7
1983 - OH,10746000,17132,12.4
1983 - OK,3298000,4245,8.4
1983 - OR,2662000,4533,10.8
1983 - PA,11895000,20501,11.5
1983 - RI,955000,1078,8.3
1983 - SC,3264000,3425,9.9
1983 - SD,700000,111,5.2
1983 - TN,4685000,8094,11.6
1983 - TX,15724000,29769,7.9
1983 - UT,1619000,1041,8.7
1983 - VA,5550000,6132,6.4
1983 - VT,525000,146,6.4
1983 - WA,4300000,4533,11.1
1983 - WI,4751000,3415,10.3
1983 - WV,1965000,869,17.8
1983 - WY,514000,153,8.1
1984 - AK,500000,547,9.9
1984 - AL,3990000,3833,11.0
1984 - AR,2349000,1587,8.7
1984 - AZ,3053000,4003,5.2
1984 - CA,25622000,83924,7.8
1984 - CO,3178000,3623,5.4
1984 - CT,3154000,6009,4.7
1984 - DC,623000,6087,9.2
1984 - DE,613000,711,6.3
1984 - FL,10976000,30311,6.4
1984 - GA,5837000,8414,6.1
1984 - HI,1039000,1204,5.7
1984 - IA,2910000,1114,7.0
1984 - ID,1001000,244,7.3
1984 - IL,11511000,34965,9.0
1984 - IN,5498000,5435,8.6
1984 - KS,2438000,1745,4.9
1984 - KY,3723000,2631,9.3
1984 - LA,4462000,8501,10.1
1984 - MA,5798000,10122,4.8
1984 - MD,4349000,13097,5.4
1984 - ME,1156000,305,6.2
1984 - MI,9075000,27832,11.2
1984 - MN,4162000,2960,6.3
1984 - MO,5008000,7053,7.2
1984 - MT,824000,226,7.6
1984 - NC,6165000,4612,6.7
1984 - ND,686000,53,5.3
1984 - NE,1606000,693,4.5
1984 - NH,977000,227,4.3
1984 - NJ,7515000,18218,6.2
1984 - NM,1424000,1856,7.8
1984 - NV,911000,2542,7.9
1984 - NY,17735000,89900,7.2
1984 - OH,10752000,15656,9.5
1984 - OK,3298000,3668,7.1
1984 - OR,2674000,4508,9.4
1984 - PA,11901000,17656,9.1
1984 - RI,962000,1091,5.5
1984 - SC,3300000,3408,6.9
1984 - SD,706000,105,4.4
1984 - TN,4717000,7867,8.6
1984 - TX,15989000,28540,6.1
1984 - UT,1652000,958,6.5
1984 - VA,5636000,5765,5.1
1984 - VT,530000,122,5.1
1984 - WA,4349000,5247,9.3
1984 - WI,4766000,3167,7.4
1984 - WV,1952000,744,14.8
1984 - WY,511000,118,6.3
1985 - AK,521000,484,9.7
1985 - AL,4021000,4237,9.2
1985 - AR,2359000,1617,8.7
1985 - AZ,3187000,4670,6.3
1985 - CA,26365000,86387,7.2
1985 - CO,3231000,4012,6.1
1985 - CT,3174000,6032,4.7
1985 - DC,626000,5230,8.1
1985 - DE,622000,773,5.2
1985 - FL,11366000,35506,6.0
1985 - GA,5976000,9812,6.4
1985 - HI,1054000,1048,5.4
1985 - IA,2884000,1187,7.5
1985 - ID,1005000,269,7.9
1985 - IL,11535000,33120,9.1
1985 - IN,5499000,5065,7.8
1985 - KS,2450000,1929,5.1
1985 - KY,3726000,2821,9.2
1985 - LA,4481000,8526,11.6
1985 - MA,5822000,10974,4.0
1985 - MD,4392000,13272,4.6
1985 - ME,1164000,284,5.5
1985 - MI,9088000,26572,10.0
1985 - MN,4193000,3598,6.0
1985 - MO,5029000,7425,6.5
1985 - MT,826000,173,7.7
1985 - NC,6255000,4893,5.6
1985 - ND,685000,44,5.7
1985 - NE,1606000,779,5.2
1985 - NH,998000,266,3.7
1985 - NJ,7562000,19282,5.6
1985 - NM,1450000,2003,8.3
1985 - NV,936000,2573,7.7
1985 - NY,17783000,89706,6.6
1985 - OH,10744000,14301,8.9
1985 - OK,3301000,3526,7.2
1985 - OR,2687000,4986,8.8
1985 - PA,11853000,17429,8.0
1985 - RI,968000,1122,4.7
1985 - SC,3347000,3143,6.9
1985 - SD,708000,121,4.9
1985 - TN,4762000,8614,8.0
1985 - TX,16370000,31680,7.0
1985 - UT,1645000,908,6.0
1985 - VA,5706000,5720,5.5
1985 - VT,535000,112,4.8
1985 - WA,4409000,5821,8.4
1985 - WI,4775000,3351,7.2
1985 - WV,1936000,728,13.1
1985 - WY,509000,102,6.9
1986 - AK,534000,470,11.0
1986 - AL,4053000,4523,9.7
1986 - AR,2372000,1890,8.6
1986 - AZ,3317000,5614,6.9
1986 - CA,26981000,92512,6.7
1986 - CO,3267000,4731,7.5
1986 - CT,3189000,6129,3.9
1986 - DC,626000,4720,7.5
1986 - DE,633000,786,4.3
1986 - FL,11675000,42822,5.8
1986 - GA,6104000,13056,6.0
1986 - HI,1062000,1129,4.8
1986 - IA,2851000,1197,6.8
1986 - ID,1003000,214,8.5
1986 - IL,11533000,37583,8.3
1986 - IN,5504000,4954,6.9
1986 - KS,2461000,1958,5.3
1986 - KY,3728000,3076,9.4
1986 - LA,4501000,10071,12.8
1986 - MA,5832000,11239,3.9
1986 - MD,4463000,13569,4.6
1986 - ME,1174000,328,5.3
1986 - MI,9145000,27550,8.8
1986 - MN,4214000,4299,5.5
1986 - MO,5066000,8624,6.2
1986 - MT,819000,160,7.9
1986 - NC,6331000,5551,5.3
1986 - ND,679000,47,5.9
1986 - NE,1598000,817,5.0
1986 - NH,1027000,242,2.8
1986 - NJ,7620000,20473,5.0
1986 - NM,1479000,1916,9.3
1986 - NV,963000,2763,6.2
1986 - NY,17772000,91360,6.2
1986 - OH,10752000,15283,8.3
1986 - OK,3305000,3521,8.2
1986 - OR,2698000,5555,8.1
1986 - PA,11889000,18085,6.9
1986 - RI,975000,1157,4.1
1986 - SC,3378000,3361,6.4
1986 - SD,708000,115,4.6
1986 - TN,4803000,9978,7.9
1986 - TX,16682000,40021,8.8
1986 - UT,1665000,976,6.1
1986 - VA,5787000,6118,5.0
1986 - VT,541000,120,4.3
1986 - WA,4463000,6031,8.1
1986 - WI,4785000,3483,7.0
1986 - WV,1919000,787,11.8
1986 - WY,507000,114,8.9
1987 - AK,525000,384,10.3
1987 - AL,4083000,4581,8.1
1987 - AR,2388000,1890,8.1
1987 - AZ,3386000,4687,6.5
1987 - CA,27663000,83341,5.8
1987 - CO,3296000,3916,7.6
1987 - CT,3211000,5720,3.4
1987 - DC,622000,4462,6.3
1987 - DE,644000,789,3.1
1987 - FL,12023000,42869,5.3
1987 - GA,6222000,13014,5.7
1987 - HI,1083000,1061,3.8
1987 - IA,2834000,1025,5.5
1987 - ID,998000,242,7.6
1987 - IL,11582000,36406,7.5
1987 - IN,5531000,4901,6.2
1987 - KS,2476000,2032,4.9
1987 - KY,3727000,3361,8.5
1987 - LA,4461000,7987,12.1
1987 - MA,5855000,10379,3.2
1987 - MD,4535000,13164,4.4
1987 - ME,1187000,304,4.4
1987 - MI,9200000,25442,8.3
1987 - MN,4246000,4354,5.1
1987 - MO,5103000,8376,6.3
1987 - MT,809000,196,7.5
1987 - NC,6413000,6023,4.5
1987 - ND,672000,51,5.0
1987 - NE,1594000,751,4.4
1987 - NH,1057000,280,2.3
1987 - NJ,7672000,17862,4.1
1987 - NM,1500000,1625,8.7
1987 - NV,1007000,2744,6.1
1987 - NY,17825000,89721,4.9
1987 - OH,10784000,16511,7.1
1987 - OK,3272000,3583,7.3
1987 - OR,2724000,5338,6.3
1987 - PA,11936000,17241,5.7
1987 - RI,986000,1062,3.6
1987 - SC,3425000,3463,5.5
1987 - SD,709000,87,4.2
1987 - TN,4855000,9409,6.6
1987 - TX,16789000,38053,8.4
1987 - UT,1680000,887,6.2
1987 - VA,5904000,6244,4.3
1987 - VT,548000,92,3.6
1987 - WA,4538000,6417,7.4
1987 - WI,4807000,3192,5.9
1987 - WV,1897000,591,10.8
1987 - WY,490000,98,8.1
1988 - AK,513000,374,8.8
1988 - AL,4127000,4860,7.2
1988 - AR,2422000,2037,7.6
1988 - AZ,3466000,4750,6.4
1988 - CA,28168000,86141,5.3
1988 - CO,3290000,3250,6.5
1988 - CT,3241000,6080,2.9
1988 - DC,620000,5690,5.0
1988 - DE,660000,784,3.2
1988 - FL,12377000,49916,5.1
1988 - GA,6401000,15593,5.7
1988 - HI,1093000,919,3.2
1988 - IA,2834000,1132,4.5
1988 - ID,999000,202,6.0
1988 - IL,11544000,36097,6.7
1988 - IN,5575000,4963,5.3
1988 - KS,2487000,2136,4.5
1988 - KY,3721000,2764,7.6
1988 - LA,4420000,9238,10.8
1988 - MA,5871000,10352,3.3
1988 - MD,4644000,13994,4.3
1988 - ME,1206000,311,3.6
1988 - MI,9300000,22424,7.5
1988 - MN,4306000,4079,4.3
1988 - MO,5139000,8638,5.7
1988 - MT,804000,182,6.6
1988 - NC,6526000,7085,3.6
1988 - ND,663000,54,4.7
1988 - NE,1601000,898,3.6
1988 - NH,1097000,231,2.4
1988 - NJ,7720000,18927,3.8
1988 - NM,1510000,1557,7.5
1988 - NV,1060000,3087,5.2
1988 - NY,17898000,97434,4.3
1988 - OH,10872000,17546,6.1
1988 - OK,3263000,3428,6.4
1988 - OR,2741000,5289,5.8
1988 - PA,12027000,16607,5.1
1988 - RI,995000,1146,3.1
1988 - SC,3493000,4357,4.7
1988 - SD,715000,87,4.1
1988 - TN,4919000,8537,5.8
1988 - TX,16780000,39301,7.4
1988 - UT,1691000,915,5.0
1988 - VA,5996000,6748,3.9
1988 - VT,556000,89,3.0
1988 - WA,4619000,6738,6.3
1988 - WI,4858000,3258,4.4
1988 - WV,1884000,644,9.9
1988 - WY,471000,71,6.5
1989 - AK,527000,356,7.0
1989 - AL,4118000,5515,7.0
1989 - AR,2406000,2660,7.0
1989 - AZ,3556000,4944,5.3
1989 - CA,29063000,96431,5.1
1989 - CO,3317000,2984,5.7
1989 - CT,3239000,6956,3.8
1989 - DC,604000,6542,4.9
1989 - DE,673000,934,3.5
1989 - FL,12671000,51188,5.6
1989 - GA,6436000,17450,5.5
1989 - HI,1112000,925,2.5
1989 - IA,2840000,1108,4.2
1989 - ID,1014000,152,5.3
1989 - IL,11658000,39138,6.0
1989 - IN,5593000,5671,4.8
1989 - KS,2513000,2508,4.2
1989 - KY,3727000,2836,6.4
1989 - LA,4382000,10397,8.0
1989 - MA,5913000,11980,4.1
1989 - MD,4694000,15589,3.8
1989 - ME,1222000,293,4.0
1989 - MI,9273000,20616,7.1
1989 - MN,4353000,4128,4.3
1989 - MO,5159000,10060,5.5
1989 - MT,806000,137,5.8
1989 - NC,6571000,8770,3.5
1989 - ND,660000,61,4.3
1989 - NE,1611000,837,2.9
1989 - NH,1107000,264,3.5
1989 - NJ,7736000,21139,4.1
1989 - NM,1528000,1607,6.7
1989 - NV,1111000,2784,4.7
1989 - NY,17950000,103983,5.0
1989 - OH,10907000,18635,5.6
1989 - OK,3224000,4070,5.7
1989 - OR,2820000,4282,5.4
1989 - PA,12040000,18025,4.7
1989 - RI,998000,1122,4.1
1989 - SC,3512000,4574,4.6
1989 - SD,715000,84,4.0
1989 - TN,4940000,7926,5.1
1989 - TX,16991000,37913,6.7
1989 - UT,1707000,898,4.6
1989 - VA,6098000,6494,3.9
1989 - VT,567000,102,3.5
1989 - WA,4761000,6672,5.9
1989 - WI,4867000,3659,4.4
1989 - WV,1857000,793,8.6
1989 - WY,475000,81,6.2
1990 - AK,550043,422,7.2
1990 - AL,4040587,5805,6.8
1990 - AR,2350725,2661,6.9
1990 - AZ,3665228,5897,5.3
1990 - CA,29760021,112208,5.8
1990 - CO,3294394,2985,5.2
1990 - CT,3287116,7717,5.1
1990 - DC,606900,7365,6.3
1990 - DE,666168,1098,4.7
1990 - FL,12937926,53928,6.1
1990 - GA,6478216,17067,5.5
1990 - HI,1108229,1013,2.7
1990 - IA,2776755,1089,4.4
1990 - ID,1006749,151,5.5
1990 - IL,11430602,45038,6.1
1990 - IN,5544159,5619,5.3
1990 - KS,2477574,2914,4.3
1990 - KY,3685296,2545,6.0
1990 - LA,4219973,11387,6.2
1990 - MA,6016425,13062,6.3
1990 - MD,4781468,17394,4.5
1990 - ME,1227928,308,5.3
1990 - MI,9295297,21752,7.6
1990 - MN,4375099,4057,4.8
1990 - MO,5117073,11073,5.8
1990 - MT,799065,173,6.0
1990 - NC,6628637,10082,4.1
1990 - ND,638800,50,4.0
1990 - NE,1578385,807,2.4
1990 - NH,1109252,302,5.7
1990 - NJ,7730188,23269,5.1
1990 - NM,1515069,1744,6.6
1990 - NV,1201833,2864,4.7
1990 - NY,17990455,112380,5.3
1990 - OH,10847115,20451,5.6
1990 - OK,3145585,3836,5.7
1990 - OR,2842321,4102,5.5
1990 - PA,11881643,20930,5.5
1990 - RI,1003464,1224,6.4
1990 - SC,3486703,5313,4.8
1990 - SD,696004,86,3.8
1990 - TN,4877185,9325,5.3
1990 - TX,16986510,44297,6.3
1990 - UT,1722850,980,4.4
1990 - VA,6187358,7626,4.5
1990 - VT,562758,66,5.0
1990 - WA,4866692,6326,5.2
1990 - WI,4891769,5514,4.4
1990 - WV,1793477,680,8.5
1990 - WY,453588,72,5.3
1991 - AK,570000,645,8.5
1991 - AL,4089000,6246,7.3
1991 - AR,2372000,3217,7.4
1991 - AZ,3750000,6215,5.9
1991 - CA,30380000,124939,7.7
1991 - CO,3377000,3628,5.2
1991 - CT,3291000,7384,6.5
1991 - DC,598000,7269,7.8
1991 - DE,680000,1460,6.2
1991 - FL,13277000,53083,7.5
1991 - GA,6623000,17762,5.2
1991 - HI,1135000,986,2.9
1991 - IA,2795000,1257,4.7
1991 - ID,1039000,215,6.2
1991 - IL,11543000,52653,7.2
1991 - IN,5610000,6506,6.0
1991 - KS,2495000,3453,4.4
1991 - KY,3713000,3084,7.3
1991 - LA,4252000,11860,7.3
1991 - MA,5996000,11669,8.6
1991 - MD,4860000,19783,6.1
1991 - ME,1235000,280,7.5
1991 - MI,9368000,22790,9.2
1991 - MN,4432000,4345,5.2
1991 - MO,5158000,12952,6.6
1991 - MT,808000,150,6.9
1991 - NC,6737000,11990,5.8
1991 - ND,635000,51,4.4
1991 - NE,1593000,861,2.7
1991 - NH,1105000,365,7.3
1991 - NJ,7760000,22744,6.7
1991 - NM,1548000,1862,7.1
1991 - NV,1284000,4012,5.8
1991 - NY,18058000,112342,7.2
1991 - OH,10939000,23536,6.5
1991 - OK,3175000,4094,6.3
1991 - OR,2922000,4387,6.4
1991 - PA,11961000,23191,7.1
1991 - RI,1004000,1234,8.6
1991 - SC,3560000,6092,6.1
1991 - SD,703000,132,3.5
1991 - TN,4953000,10543,6.7
1991 - TX,17349000,49700,6.9
1991 - UT,1770000,976,4.7
1991 - VA,6286000,8651,5.9
1991 - VT,567000,67,6.6
1991 - WA,5018000,7303,6.3
1991 - WI,4955000,5895,5.5
1991 - WV,1801000,779,10.7
1991 - WY,460000,79,5.2
1992 - AK,587000,640,8.9
1992 - AL,4136000,6819,7.6
1992 - AR,2399000,3011,7.1
1992 - AZ,3832000,5867,7.5
1992 - CA,30867000,130897,9.3
1992 - CO,3470000,4180,6.0
1992 - CT,3281000,6918,7.5
1992 - DC,589000,7459,8.6
1992 - DE,689000,1042,5.4
1992 - FL,13488000,49482,8.2
1992 - GA,6751000,16863,6.9
1992 - HI,1160000,1151,4.3
1992 - IA,2812000,1113,4.5
1992 - ID,1067000,229,6.4
1992 - IL,11631000,47973,7.9
1992 - IN,5662000,6921,6.5
1992 - KS,2523000,3277,4.5
1992 - KY,3755000,3273,6.9
1992 - LA,4287000,11636,8.0
1992 - MA,5998000,11059,8.5
1992 - MD,4908000,21054,6.8
1992 - ME,1235000,288,7.3
1992 - MI,9437000,20902,9.0
1992 - MN,4480000,4906,5.1
1992 - MO,5193000,11783,6.2
1992 - MT,824000,222,6.7
1992 - NC,6843000,12784,6.1
1992 - ND,636000,50,4.8
1992 - NE,1606000,911,2.9
1992 - NH,1111000,367,7.3
1992 - NJ,7789000,22216,8.4
1992 - NM,1581000,2202,7.2
1992 - NV,1327000,4397,6.7
1992 - NY,18119000,108154,8.6
1992 - OH,11016000,21925,7.4
1992 - OK,3212000,4376,6.0
1992 - OR,2977000,4507,7.4
1992 - PA,12009000,21701,7.6
1992 - RI,1005000,950,8.9
1992 - SC,3603000,6148,6.7
1992 - SD,711000,120,3.3
1992 - TN,5024000,10964,6.5
1992 - TX,17656000,44588,7.6
1992 - UT,1813000,1014,4.9
1992 - VA,6377000,8787,6.3
1992 - VT,570000,51,6.1
1992 - WA,5136000,7178,7.3
1992 - WI,5007000,5997,5.1
1992 - WV,1812000,788,11.3
1992 - WY,466000,84,5.6
1993 - AK,599000,733,7.7
1993 - AL,4187000,6677,7.3
1993 - AR,2424000,3027,6.2
1993 - AZ,3936000,6412,6.4
1993 - CA,31211000,126436,9.5
1993 - CO,3566000,4160,5.3
