YrSt_ID,population,robbery,Unemp_Yr_Avg
1993 - CT,3277000,6447,6.6
1993 - DC,578000,7107,8.5
1993 - DE,700000,1307,5.0
1993 - FL,13679000,48913,7.1
1993 - GA,6917000,17154,6.0
1993 - HI,1172000,1214,4.5
1993 - IA,2814000,1517,4.1
1993 - ID,1099000,186,6.0
1993 - IL,11697000,44584,7.4
1993 - IN,5713000,6845,5.4
1993 - KS,2531000,3128,5.0
1993 - KY,3789000,3425,6.2
1993 - LA,4295000,12182,7.6
1993 - MA,6012000,10563,7.0
1993 - MD,4965000,21582,6.2
1993 - ME,1239000,264,7.3
1993 - MI,9478000,22601,7.2
1993 - MN,4517000,5092,5.0
1993 - MO,5234000,12654,6.2
1993 - MT,839000,272,6.1
1993 - NC,6945000,13364,5.0
1993 - ND,635000,53,4.3
1993 - NE,1607000,1003,2.8
1993 - NH,1125000,307,6.2
1993 - NJ,7879000,23319,7.6
1993 - NM,1616000,2237,7.0
1993 - NV,1389000,4724,6.9
1993 - NY,18197000,102122,7.9
1993 - OH,11091000,21373,6.6
1993 - OK,3231000,3935,5.9
1993 - OR,3032000,3930,7.0
1993 - PA,12048000,21563,7.0
1993 - RI,1000000,1011,7.7
1993 - SC,3643000,6825,7.3
1993 - SD,715000,107,3.4
1993 - TN,5099000,11224,5.8
1993 - TX,18031000,40469,7.2
1993 - UT,1860000,1090,4.1
1993 - VA,6491000,9216,5.2
1993 - VT,576000,52,5.2
1993 - WA,5255000,7204,7.3
1993 - WI,5038000,5714,4.8
1993 - WV,1820000,782,10.6
1993 - WY,470000,81,5.4
1994 - AK,606000,886,7.6
1994 - AL,4219000,7223,6.2
1994 - AR,2453000,3158,5.4
1994 - AZ,4075000,6601,6.2
1994 - CA,31431000,112160,8.6
1994 - CO,3656000,3910,4.3
1994 - CT,3275000,6150,5.6
1994 - DC,570000,6311,8.0
1994 - DE,706000,1141,4.8
1994 - FL,13953000,45871,6.5
1994 - GA,7055000,15703,5.2
1994 - HI,1179000,1221,5.5
1994 - IA,2829000,1327,3.5
1994 - ID,1133000,209,5.4
1994 - IL,11752000,43788,5.8
1994 - IN,5752000,7490,4.9
1994 - KS,2554000,2940,4.9
1994 - KY,3827000,3595,5.4
1994 - LA,4315000,11530,7.9
1994 - MA,6041000,10160,6.1
1994 - MD,5006000,20147,5.3
1994 - ME,1240000,278,7.0
1994 - MI,9496000,21733,6.0
1994 - MN,4567000,5370,4.1
1994 - MO,5278000,12178,5.1
1994 - MT,856000,280,5.3
1994 - NC,7070000,12811,4.4
1994 - ND,638000,71,3.7
1994 - NE,1623000,1223,2.7
1994 - NH,1137000,308,4.7
1994 - NJ,7904000,22762,6.8
1994 - NM,1654000,2329,6.5
1994 - NV,1457000,5134,6.2
1994 - NY,18169000,86617,7.0
1994 - OH,11102000,20821,5.6
1994 - OK,3258000,4174,5.6
1994 - OR,3086000,4264,5.4
1994 - PA,12052000,22497,6.3
1994 - RI,997000,870,6.9
1994 - SC,3664000,6817,6.2
1994 - SD,721000,135,3.3
1994 - TN,5175000,10735,4.9
1994 - TX,18378000,37643,6.5
1994 - UT,1908000,1213,3.8
1994 - VA,6552000,8704,4.9
1994 - VT,580000,71,4.6
1994 - WA,5343000,7464,6.6
1994 - WI,5082000,5739,4.5
1994 - WV,1822000,772,8.8
1994 - WY,476000,79,5.0
1995 - AK,604000,937,7.3
1995 - AL,4253000,7900,6.0
1995 - AR,2484000,3122,4.8
1995 - AZ,4218000,7329,5.4
1995 - CA,31589000,104611,7.9
1995 - CO,3747000,3604,4.0
1995 - CT,3275000,5345,5.5
1995 - DC,554000,6864,8.8
1995 - DE,717000,1425,4.3
1995 - FL,14166000,42485,5.5
1995 - GA,7201000,14777,4.8
1995 - HI,1187000,1553,5.9
1995 - IA,2842000,1507,3.5
1995 - ID,1163000,279,5.4
1995 - IL,11830000,39139,5.2
1995 - IN,5803000,7844,4.6
1995 - KS,2565000,2775,4.4
1995 - KY,3860000,4001,5.4
1995 - LA,4342000,11662,7.0
1995 - MA,6074000,9137,5.3
1995 - MD,5042000,21334,5.0
1995 - ME,1241000,334,6.0
1995 - MI,9549000,17885,5.3
1995 - MN,4610000,5702,3.8
1995 - MO,5324000,10863,4.7
1995 - MS,2697000,3530,6.2
1995 - MT,870000,253,5.7
1995 - NC,7195000,12896,4.3
1995 - ND,641000,64,3.2
1995 - NE,1637000,1067,2.7
1995 - NH,1148000,314,4.0
1995 - NJ,7945000,22486,6.4
1995 - NM,1685000,2604,6.6
1995 - NV,1530000,4966,5.6
1995 - NY,18136000,72492,6.3
1995 - OH,11151000,19931,4.8
1995 - OK,3278000,3788,4.6
1995 - OR,3141000,4332,4.9
1995 - PA,12072000,22858,5.9
1995 - RI,990000,914,6.3
1995 - SC,3673000,6461,5.2
1995 - SD,729000,189,3.1
1995 - TN,5256000,11732,5.2
1995 - TX,18724000,33667,6.1
1995 - UT,1951000,1309,3.5
1995 - VA,6618000,8718,4.5
1995 - VT,585000,64,4.3
1995 - WA,5431000,7209,6.4
1995 - WI,5123000,5384,3.8
1995 - WV,1828000,781,7.9
1995 - WY,480000,86,4.8
1996 - AK,607000,710,7.6
1996 - AL,4273000,7124,5.2
1996 - AR,2510000,2864,5.3
1996 - AZ,4428000,7429,5.6
1996 - CA,31878000,94222,7.3
1996 - CO,3823000,3755,4.2
1996 - CT,3274000,5552,5.5
1996 - DC,543000,6444,8.4
1996 - DE,725000,1304,5.1
1996 - FL,14400000,41643,5.1
1996 - GA,7353000,15100,4.7
1996 - HI,1184000,1606,6.3
1996 - IA,2852000,1286,3.5
1996 - ID,1189000,241,5.3
1996 - IL,11847000,33106,5.3
1996 - IN,5841000,7249,4.1
1996 - KS,2572000,2476,4.3
1996 - KY,3884000,3643,5.5
1996 - LA,4351000,12036,6.6
1996 - MA,6092000,7778,4.4
1996 - MD,5072000,19944,5.1
1996 - ME,1243000,292,5.2
1996 - MI,9594000,16907,4.9
1996 - MN,4658000,5385,4.0
1996 - MO,5359000,9142,4.8
1996 - MS,2716000,3646,6.0
1996 - MT,879000,261,5.3
1996 - NC,7323000,12001,4.3
1996 - ND,644000,71,2.9
1996 - NE,1652000,1052,2.7
1996 - NH,1162000,317,3.8
1996 - NJ,7988000,18838,6.2
1996 - NM,1713000,2782,7.2
1996 - NV,1603000,4931,5.0
1996 - NY,18185000,61822,6.2
1996 - OH,11173000,18336,5.0
1996 - OK,3301000,3519,4.1
1996 - OR,3204000,3914,5.7
1996 - PA,12056000,22784,5.5
1996 - RI,990000,824,5.5
1996 - SC,3699000,6361,5.8
1996 - SD,732000,138,3.2
1996 - TN,5320000,11902,5.2
1996 - TX,19128000,32804,5.7
1996 - UT,2000000,1377,3.4
1996 - VA,6675000,8181,4.5
1996 - VT,589000,91,4.3
1996 - WA,5533000,6587,6.1
1996 - WI,5160000,4982,3.6
1996 - WV,1826000,737,7.5
1996 - WY,481000,98,4.9
1997 - AK,609000,648,7.2
1997 - AL,4319000,6931,5.0
1997 - AR,2523000,2814,5.2
1997 - AZ,4555000,7547,4.6
1997 - CA,32268000,81468,6.4
1997 - CO,3893000,3242,3.5
1997 - CT,3270000,4999,5.0
1997 - DC,529000,4501,8.0
1997 - DE,732000,1783,4.0
1997 - FL,14654000,40459,4.8
1997 - GA,7486000,15473,4.6
1997 - HI,1187000,1403,6.2
1997 - IA,2852000,1593,3.1
1997 - ID,1210000,237,5.2
1997 - IL,11896000,33123,4.8
1997 - IN,5864000,7763,3.5
1997 - KS,2595000,2535,3.8
1997 - KY,3908000,3546,5.3
1997 - LA,4352000,10407,6.0
1997 - MA,6118000,6676,3.9
1997 - MD,5094000,17157,5.0
1997 - ME,1242000,257,5.1
1997 - MI,9774000,14934,4.3
1997 - MN,4686000,5373,3.3
1997 - MO,5402000,8430,4.3
1997 - MS,2731000,3741,5.7
1997 - MT,879000,179,5.3
1997 - NC,7425000,12817,3.8
1997 - ND,641000,41,2.7
1997 - NE,1657000,1097,2.5
1997 - NH,1173000,274,3.3
1997 - NJ,8053000,16957,5.3
1997 - NM,1730000,2966,6.3
1997 - NV,1677000,5071,4.4
1997 - NY,18137000,56094,6.4
1997 - OH,11186000,17755,4.6
1997 - OK,3317000,3446,4.1
1997 - OR,3243000,3811,5.7
1997 - PA,12020000,18788,5.1
1997 - RI,987000,707,5.2
1997 - SC,3760000,6624,4.6
1997 - SD,738000,172,2.9
1997 - TN,5368000,11487,5.3
1997 - TX,19439000,30522,5.3
1997 - UT,2059000,1408,3.2
1997 - VA,6734000,8384,3.8
1997 - VT,589000,79,3.9
1997 - WA,5610000,6734,4.9
1997 - WI,5170000,5214,3.6
1997 - WV,1816000,782,6.9
1997 - WY,480000,85,4.8
1998 - AK,614000,532,6.4
1998 - AL,4352000,5698,4.4
1998 - AR,2538000,2442,5.2
1998 - AZ,4669000,7715,4.3
1998 - CA,32667000,68782,5.9
1998 - CO,3971000,3238,3.6
1998 - CT,3274000,4379,3.4
1998 - DC,523000,3606,8.4
1998 - DE,744000,1445,3.7
1998 - FL,14916000,36198,4.3
1998 - GA,7642000,14308,4.3
1998 - HI,1193000,1225,6.1
1998 - IA,2862000,1456,2.8
1998 - ID,1229000,264,5.1
1998 - IL,12045000,29927,4.4
1998 - IN,5899000,6561,3.1
1998 - KS,2629000,2287,3.5
1998 - KY,3936000,3468,4.6
1998 - LA,4369000,8651,5.7
1998 - MA,6147000,5938,3.3
1998 - MD,5135000,15339,4.4
1998 - ME,1244000,263,4.5
1998 - MI,9817000,15293,3.9
1998 - MN,4725000,4371,2.7
1998 - MO,5439000,8116,4.2
1998 - MS,2752000,3394,5.3
1998 - MT,880000,232,5.5
1998 - NC,7546000,12133,3.5
1998 - ND,638000,65,2.9
1998 - NE,1663000,1290,2.6
1998 - NH,1185000,255,2.8
1998 - NJ,8115000,15109,4.6
1998 - NM,1737000,2839,6.1
1998 - NV,1747000,4453,4.2
1998 - NY,18175000,49125,5.6
1998 - OH,11209000,14960,4.3
1998 - OK,3347000,3078,4.3
1998 - OR,3282000,3452,5.8
1998 - PA,12001000,19787,4.6
1998 - RI,988000,659,4.6
1998 - SC,3836000,5943,3.8
1998 - SD,738000,149,2.8
1998 - TN,5431000,9667,4.3
1998 - TX,19760000,28677,4.9
1998 - UT,2100000,1385,3.7
1998 - VA,6791000,7171,2.9
1998 - VT,591000,56,3.4
1998 - WA,5689000,6577,4.8
1998 - WI,5224000,4474,3.4
1998 - WV,1811000,676,6.6
1998 - WY,481000,78,4.7
1999 - AK,619500,566,6.5
1999 - AL,4369862,5297,4.7
1999 - AR,2551373,2024,4.6
1999 - AZ,4778332,7288,4.4
1999 - CA,33145121,60039,5.2
1999 - CO,4056133,3056,3.1
1999 - CT,3282031,4054,2.9
1999 - DC,519000,3344,6.4
1999 - DE,753538,1492,3.4
1999 - FL,15111244,31969,3.9
1999 - GA,7788240,12962,3.9
1999 - HI,1185497,1044,5.4
1999 - IA,2869413,1051,2.6
1999 - ID,1251700,223,4.9
1999 - IL,12128370,26365,4.4
1999 - IN,5942901,6496,3.0
1999 - KS,2654052,2047,3.3
1999 - KY,3960825,3104,4.5
1999 - LA,4372035,7591,5.1
1999 - MA,6175169,5931,3.2
1999 - MD,5171634,13636,3.6
1999 - ME,1253040,243,4.0
1999 - MI,9863775,14103,3.7
1999 - MN,4775508,3917,2.8
1999 - MO,5468338,7149,3.3
1999 - MS,2768619,3091,5.1
1999 - MT,882779,239,5.3
1999 - NC,7650789,12087,3.2
1999 - ND,633666,56,3.3
1999 - NE,1666028,1264,2.8
1999 - NH,1201134,257,2.7
1999 - NJ,8143412,14243,4.5
1999 - NM,1739844,2579,5.6
1999 - NV,1809253,4209,4.0
1999 - NY,18196601,43821,5.2
1999 - OH,11256654,14405,4.3
1999 - OK,3358044,2785,3.5
1999 - OR,3316154,2858,5.5
1999 - PA,11994016,18670,4.4
1999 - RI,990819,788,4.2
1999 - SC,3885736,5760,4.3
1999 - SD,733133,103,2.7
1999 - TN,5483535,8598,4.0
1999 - TX,20044141,29405,4.7
1999 - UT,2129836,1158,3.5
1999 - VA,6872912,6947,2.8
1999 - VT,593740,65,3.0
1999 - WA,5756361,5808,4.9
1999 - WI,5250446,4449,3.1
1999 - WV,1806928,661,6.5
1999 - WY,479602,74,4.6
2000 - AK,626932,490,6.4
2000 - AL,4447100,5702,4.6
2000 - AR,2673400,2001,4.3
2000 - AZ,5130632,7504,4.0
2000 - CA,33871648,60249,4.9
2000 - CO,4301261,3034,2.8
2000 - CT,3405565,3832,2.4
2000 - DC,572059,3554,5.6
2000 - DE,783600,1394,3.7
2000 - FL,15982378,31809,3.7
2000 - GA,8186453,13250,3.6
2000 - HI,1211537,1123,4.3
2000 - IA,2926324,1071,2.6
2000 - ID,1293953,223,4.7
2000 - IL,12419293,25641,4.3
2000 - IN,6080485,6282,3.1
2000 - KS,2688418,2048,3.6
2000 - KY,4041769,3256,4.2
2000 - LA,4468976,7532,5.3
2000 - MA,6349097,5815,2.7
2000 - MD,5296486,13560,3.6
2000 - ME,1274923,247,3.4
2000 - MI,9938444,13712,3.6
2000 - MN,4919479,3713,3.2
2000 - MO,5595211,7598,3.6
2000 - MS,2844658,2703,5.4
2000 - MT,902195,203,5.0
2000 - NC,8049313,12595,3.7
2000 - ND,642200,56,3.0
2000 - NE,1711263,1147,2.8
2000 - NH,1235786,453,2.7
2000 - NJ,8414350,13553,3.7
2000 - NM,1819046,2499,4.9
2000 - NV,1998257,4543,4.2
2000 - NY,18976457,40539,4.6
2000 - OH,11353140,15610,4.0
2000 - OK,3450654,2615,3.0
2000 - OR,3421399,2888,5.1
2000 - PA,12281054,18155,4.1
2000 - RI,1048319,922,4.1
2000 - SC,4012012,6220,3.8
2000 - SD,754844,131,2.5
2000 - TN,5689283,9465,3.9
2000 - TX,20851820,30257,4.3
2000 - UT,2233169,1242,3.3
2000 - VA,7078515,6295,2.3
2000 - VT,608827,117,2.8
2000 - WA,5894121,5812,5.2
2000 - WI,5363675,4537,3.5
2000 - WV,1808344,749,5.5
2000 - WY,493782,70,3.9
2001 - AK,633630,514,6.4
2001 - AL,4468912,5584,5.1
2001 - AR,2694698,2181,5.0
2001 - AZ,5306966,8868,4.8
2001 - CA,34600463,64614,5.4
2001 - CO,4430989,3555,3.8
2001 - CT,3434602,4183,3.1
2001 - DC,573822,3780,6.3
2001 - DE,796599,1156,3.5
2001 - FL,16373330,32867,4.6
2001 - GA,8405677,14402,4.1
2001 - HI,1227024,1142,4.5
2001 - IA,2931967,1154,3.3
2001 - ID,1320585,245,5.1
2001 - IL,12520227,24931,5.3
2001 - IN,6126743,7171,4.3
2001 - KS,2702125,2423,4.2
2001 - KY,4068816,3269,5.2
2001 - LA,4470368,7864,5.7
2001 - MA,6401164,6476,3.7
2001 - MD,5386079,13525,4.0
2001 - ME,1284470,264,3.8
2001 - MI,10006266,12937,5.2
2001 - MN,4984535,3758,3.8
2001 - MO,5637309,7771,4.6
2001 - MS,2859733,3294,5.5
2001 - MT,905382,230,4.6
2001 - NC,8206105,13304,5.5
2001 - ND,636550,60,2.9
2001 - NE,1720039,1128,3.1
2001 - NH,1259359,445,3.4
2001 - NJ,8511116,14110,4.3
2001 - NM,1830935,2695,4.9
2001 - NV,2097722,4932,5.2
2001 - NY,19084350,36555,4.8
2001 - OH,11389785,17199,4.3
2001 - OK,3469577,2746,3.7
2001 - OR,3473441,2749,6.4
2001 - PA,12303104,17500,4.8
2001 - RI,1059659,986,4.6
2001 - SC,4062125,5987,5.2
2001 - SD,758324,103,3.1
2001 - TN,5749398,10219,4.6
2001 - TX,21370983,35348,4.9
2001 - UT,2278712,1197,4.4
2001 - VA,7196750,6860,3.2
2001 - VT,612978,107,3.3
2001 - WA,5993390,5934,6.3
2001 - WI,5405947,4444,4.5
2001 - WV,1800975,707,5.0
2001 - WY,493754,84,3.8
2002 - AK,641482,489,7.3
2002 - AL,4478896,5962,5.9
2002 - AR,2706268,2524,5.5
2002 - AZ,5441125,8000,6.1
2002 - CA,35001986,64968,6.7
2002 - CO,4501051,3579,5.5
2002 - CT,3458587,4069,4.3
2002 - DC,569157,3834,6.4
2002 - DE,805945,1154,4.0
2002 - FL,16691701,32581,5.6
2002 - GA,8544005,13432,5.0
2002 - HI,1240663,1210,4.2
2002 - IA,2935840,1169,4.0
2002 - ID,1343124,240,5.6
2002 - IL,12586447,25314,6.5
2002 - IN,6156913,6612,5.2
2002 - KS,2711769,2165,5.0
2002 - KY,4089822,3131,5.7
2002 - LA,4476192,7123,6.2
2002 - MA,6421800,7169,5.3
2002 - MD,5450525,13417,4.4
2002 - ME,1294894,270,4.4
2002 - MI,10043221,11847,6.3
2002 - MN,5024791,3937,4.5
2002 - MO,5669544,7024,5.4
2002 - MS,2866733,3356,6.6
2002 - MT,910372,283,4.4
2002 - NC,8305820,12205,6.7
2002 - ND,633911,58,3.7
2002 - NE,1727564,1359,3.7
2002 - NH,1274405,413,4.5
2002 - NJ,8575252,13955,5.8
2002 - NM,1852044,2206,5.5
2002 - NV,2167455,5118,5.6
2002 - NY,19134293,36653,6.2
2002 - OH,11408699,17871,5.7
2002 - OK,3489700,2966,4.6
2002 - OR,3520355,2742,7.5
2002 - PA,12328827,17163,5.6
2002 - RI,1068326,916,5.0
2002 - SC,4103770,5774,5.8
2002 - SD,760437,117,3.2
2002 - TN,5789796,9413,5.2
2002 - TX,21736925,37580,6.3
2002 - UT,2318789,1140,5.8
2002 - VA,7287829,6961,4.2
2002 - VT,616408,77,4.0
2002 - WA,6067060,5797,7.4
2002 - WI,5439692,4713,5.4
2002 - WV,1804884,657,5.9
2002 - WY,498830,93,4.0
2003 - AK,648280,446,7.8
2003 - AL,4503726,6038,6.0
2003 - AR,2727774,2227,5.9
2003 - AZ,5579222,7619,5.7
2003 - CA,35462712,63770,6.8
2003 - CO,4547633,3738,6.0
2003 - CT,3486960,4212,5.4
2003 - DC,557620,3941,6.8
2003 - DE,818166,1441,4.3
2003 - FL,16999181,31523,5.2
2003 - GA,8676460,14043,4.8
2003 - HI,1248755,1168,4.1
2003 - IA,2941976,1131,4.5
2003 - ID,1367034,245,5.6
2003 - IL,12649087,23786,6.8
2003 - IN,6199571,6401,5.3
2003 - KS,2724786,2247,5.5
2003 - KY,4118189,3224,6.1
2003 - LA,4493665,7008,6.4
2003 - MA,6420357,8011,5.7
2003 - MD,5512310,13302,4.4
2003 - ME,1309205,289,5.0
2003 - MI,10082364,11254,7.2
2003 - MN,5064172,3906,4.9
2003 - MO,5719204,6686,5.6
2003 - MS,2882594,3016,6.3
2003 - MT,918157,298,4.7
2003 - NC,8421190,12229,6.4
2003 - ND,633400,53,3.7
2003 - NE,1737475,1165,3.9
2003 - NH,1288705,480,4.3
2003 - NJ,8642412,13342,5.8
2003 - NM,1878562,1937,5.9
2003 - NV,2242207,5225,5.1
2003 - NY,19212425,35790,6.4
2003 - OH,11437680,16895,6.2
2003 - OK,3506469,3224,5.5
2003 - OR,3564330,2847,8.1
2003 - PA,12370761,17980,5.7
2003 - RI,1076084,830,5.3
2003 - SC,4148744,5801,6.9
2003 - SD,764905,104,3.5
2003 - TN,5845208,9413,5.6
2003 - TX,22103374,37017,6.7
2003 - UT,2352119,1258,5.6
2003 - VA,7365284,6713,4.1
2003 - VT,619343,62,4.3
2003 - WA,6131298,5718,7.4
2003 - WI,5474290,4397,5.7
2003 - WV,1811440,701,6.1
2003 - WY,502111,84,4.3
2004 - AK,657755,447,7.5
2004 - AL,4525375,6042,5.7
2004 - AR,2750000,2372,5.7
2004 - AZ,5739879,7721,5.0
2004 - CA,35842038,61768,6.2
2004 - CO,4601821,3739,5.5
2004 - CT,3498966,4188,5.0
2004 - DC,554239,3202,7.8
2004 - DE,830069,1343,4.0
2004 - FL,17385430,29997,4.6
2004 - GA,8918129,13656,4.8
2004 - HI,1262124,944,3.4
2004 - IA,2952904,1160,4.5
2004 - ID,1395140,241,4.9
2004 - IL,12712016,22582,6.2
2004 - IN,6226537,6373,5.4
2004 - KS,2733697,1812,5.5
2004 - KY,4141835,3268,5.4
2004 - LA,4506685,6564,5.9
2004 - MA,6407382,7484,5.2
2004 - MD,5561332,12772,4.3
2004 - ME,1314985,289,4.7
2004 - MI,10104206,11336,7.1
2004 - MN,5096546,4070,4.7
2004 - MO,5759532,6630,5.9
2004 - MS,2900768,2503,6.2
2004 - MT,926920,233,4.8
2004 - NC,8540468,11782,5.5
2004 - ND,636308,43,3.4
2004 - NE,1747704,1138,3.9
2004 - NH,1299169,500,3.8
2004 - NJ,8685166,13076,4.8
2004 - NM,1903006,2062,5.5
2004 - NV,2332898,4905,4.3
2004 - NY,19280727,33506,5.8
2004 - OH,11450143,17429,6.3
2004 - OK,3523546,3090,4.9
2004 - OR,3591363,2751,7.3
2004 - PA,12394471,18474,5.4
2004 - RI,1079916,731,5.2
2004 - SC,4197892,5468,6.8
2004 - SD,770621,112,3.7
2004 - TN,5893298,8863,5.3
2004 - TX,22471549,35817,5.9
2004 - UT,2420708,1236,5.0
2004 - VA,7481332,6899,3.8
2004 - VT,621233,78,3.7
2004 - WA,6207046,5866,6.3
2004 - WI,5503533,4067,5.0
2004 - WV,1812548,774,5.3
2004 - WY,505887,67,3.8
2005 - AK,663253,537,6.9
2005 - AL,4548327,6447,4.5
2005 - AR,2775708,2532,5.3
2005 - AZ,5953007,8579,4.7
2005 - CA,36154147,63622,5.4
2005 - CO,4663295,3948,5.0
2005 - CT,3500701,3933,4.9
2005 - DC,582049,3700,6.4
2005 - DE,841741,1306,4.1
2005 - FL,17768191,30141,3.7
2005 - GA,9132553,14041,5.4
2005 - HI,1273278,1001,2.9
2005 - IA,2965524,1153,4.3
2005 - ID,1429367,266,4.0
2005 - IL,12765427,23255,5.7
2005 - IN,6266019,6809,5.5
2005 - KS,2748172,1795,5.0
2005 - KY,4172608,3690,5.9
2005 - LA,4507331,5337,7.1
2005 - MA,6433367,7837,4.9
2005 - MD,5589599,14378,4.1
2005 - ME,1318220,323,4.9
2005 - MI,10100833,13348,6.8
2005 - MN,5126739,4724,4.1
2005 - MO,5797703,7196,5.4
2005 - MS,2908496,2405,7.5
2005 - MT,934737,177,4.4
2005 - NC,8672459,12635,5.2
2005 - ND,634605,54,3.4
2005 - NE,1758163,1040,3.8
2005 - NH,1306819,365,3.6
2005 - NJ,8703150,13215,4.5
2005 - NM,1925985,1893,5.1
2005 - NV,2412301,4702,4.1
2005 - NY,19315721,35179,5.0
2005 - OH,11470685,18673,5.9
2005 - OK,3543442,3230,4.5
2005 - OR,3638871,2478,6.2
2005 - PA,12405348,19214,5.0
2005 - RI,1073579,776,5.1
2005 - SC,4246933,5657,6.7
2005 - SD,774883,145,3.8
2005 - TN,5955745,10009,5.6
2005 - TX,22928508,35790,5.4
2005 - UT,2490334,1095,4.1
2005 - VA,7564327,7495,3.6
2005 - VT,622387,76,3.5
2005 - WA,6291899,5788,5.6
2005 - WI,5527644,4555,4.7
2005 - WV,1814083,816,5.1
2005 - WY,508798,78,3.6
2006 - AK,670053,600,6.6
2006 - AL,4599030,7062,4.0
2006 - AR,2810872,2749,5.2
2006 - AZ,6166318,9491,4.2
